Entry	Entry Name	Mass	Length	Gene Names	Organism	Organism (ID)	Protein names
A0A024QYR9	A0A024QYR9_MOUSE	64567	572	Pten PTEN	Mus musculus (Mouse)	10090	Mitochondrial PTENalpha (Phosphatase and tensin homolog)
A0A068BD29	A0A068BD29_MOUSE	27757	260	Cd320 CD320	Mus musculus (Mouse)	10090	CD320 antigen
A0A068BD53	A0A068BD53_MOUSE	30526	271	H2-Ob	Mus musculus (Mouse)	10090	MHC class II antigen O region beta locus
A0A068BD65	A0A068BD65_MOUSE	52257	486	Rxrb	Mus musculus (Mouse)	10090	Putative retinoid X receptor beta isoform 2
A0A068BEP5	A0A068BEP5_MOUSE	81441	739	Daxx	Mus musculus (Mouse)	10090	Death domain-associated protein 6 (Daxx)
A0A068BER1	A0A068BER1_MOUSE	79067	724	Tap1	Mus musculus (Mouse)	10090	ABC-type antigen peptide transporter (EC 7.4.2.14)
A0A068BER6	A0A068BER6_MOUSE	28176	256	H2-Aa	Mus musculus (Mouse)	10090	MHC class II antigen A alpha
A0A068BES0	A0A068BES0_MOUSE	26627	246	Cd320 CD320-002	Mus musculus (Mouse)	10090	CD320 antigen isoform 002
A0A068BES4	A0A068BES4_MOUSE	49844	463	Rxrb	Mus musculus (Mouse)	10090	Putative retinoid X receptor beta isoform 4
A0A068BFR6	A0A068BFR6_MOUSE	74111	674	Kifc1	Mus musculus (Mouse)	10090	Kinesin-like protein
A0A068BFS4	A0A068BFS4_MOUSE	42613	406	Ring1	Mus musculus (Mouse)	10090	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
A0A068BFU4	A0A068BFU4_MOUSE	29809	263	H2-Ab1	Mus musculus (Mouse)	10090	MHC class II antigen A beta 1
A0A068BFV6	A0A068BFV6_MOUSE	51813	482	Rxrb	Mus musculus (Mouse)	10090	Putative retinoid X receptor beta isoform 3
A0A068BGR9	A0A068BGR9_MOUSE	12606	113	Ndufa7	Mus musculus (Mouse)	10090	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)
A0A068BGT5	A0A068BGT5_MOUSE	56393	524	Rxrb	Mus musculus (Mouse)	10090	Retinoid X receptor beta
A0A068BGU5	A0A068BGU5_MOUSE	77434	703	Tap2	Mus musculus (Mouse)	10090	ABC-type antigen peptide transporter (EC 7.4.2.14)
A0A068BGV8	A0A068BGV8_MOUSE	55950	520	Rxrb	Mus musculus (Mouse)	10090	Putative retinoid X receptor beta isoform 1
A0A068BGW6	A0A068BGW6_MOUSE	27597	245	H2-Ob	Mus musculus (Mouse)	10090	MHC class II antigen O region beta locus isoform-003
A0A068BIS6	A0A068BIS6_MOUSE	41236	371	B3galt4	Mus musculus (Mouse)	10090	Hexosyltransferase (EC 2.4.1.-)
A0A068BIT0	A0A068BIT0_MOUSE	50657	476	Slc39a7	Mus musculus (Mouse)	10090	Solute carrier family 39
A0A068BIT8	A0A068BIT8_MOUSE	30359	276	Psmb8	Mus musculus (Mouse)	10090	Proteasome subunit beta
A0A068BIU3	A0A068BIU3_MOUSE	30192	264	H2-Eb1	Mus musculus (Mouse)	10090	MHC class II antigen E beta
A0A068BIV0	A0A068BIV0_MOUSE	51644	481	Rxrb	Mus musculus (Mouse)	10090	Putative retinoid X receptor beta isoform 5
A0A075B5P5	A0A075B5P5_MOUSE	36310	330	Ighg3	Mus musculus (Mouse)	10090	Immunoglobulin heavy constant gamma 3
A0A075B6A0	A0A075B6A0_MOUSE	52610	476	Ighm	Mus musculus (Mouse)	10090	Immunoglobulin heavy constant mu
A0A075B6D7	A0A075B6D7_MOUSE	96807	899	Inpp5j	Mus musculus (Mouse)	10090	Inositol polyphosphate 5-phosphatase J
A0A075DC90	A0A075DC90_MOUSE	26003	227	COX2	Mus musculus (Mouse)	10090	Cytochrome c oxidase subunit 2
A0A075DC92	A0A075DC92_MOUSE	10482	97	ND4L	Mus musculus (Mouse)	10090	NADH-ubiquinone oxidoreductase chain 4L (EC 7.1.1.2)
A0A075DCA9	A0A075DCA9_MOUSE	36057	318	ND1	Mus musculus (Mouse)	10090	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)
A0A075DCB0	A0A075DCB0_MOUSE	25124	226	ATP6	Mus musculus (Mouse)	10090	ATP synthase subunit a
A0A075DCB1	A0A075DCB1_MOUSE	68503	607	ND5	Mus musculus (Mouse)	10090	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)
A0A075DCF9	A0A075DCF9_MOUSE	38718	345	ND2	Mus musculus (Mouse)	10090	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2)
A0A075DCG2	A0A075DCG2_MOUSE	29894	261	COX3	Mus musculus (Mouse)	10090	Cytochrome c oxidase subunit 3
A0A075DCG5	A0A075DCG5_MOUSE	18618	172	ND6	Mus musculus (Mouse)	10090	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2)
A0A075DCI0	A0A075DCI0_MOUSE	7740	67	ATP8	Mus musculus (Mouse)	10090	ATP synthase protein 8
A0A075DCI1	A0A075DCI1_MOUSE	51951	460	ND4	Mus musculus (Mouse)	10090	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)
A0A075DCW1	A0A075DCW1_MOUSE	13151	115	ND3	Mus musculus (Mouse)	10090	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)
A0A075DCW5	A0A075DCW5_MOUSE	43210	381	CYTB	Mus musculus (Mouse)	10090	Cytochrome b
A0A075EIS2	A0A075EIS2_MOUSE	65728	578	Ksr2	Mus musculus (Mouse)	10090	non-specific serine/threonine protein kinase (EC 2.7.11.1)
A0A076FR46	A0A076FR46_MOUSE	125599	1133	Slc12a5	Mus musculus (Mouse)	10090	KCC2a-S25 variant 1 (Solute carrier family 12, member 5)
A0A076FRG6	A0A076FRG6_MOUSE	126271	1138	Slc12a5	Mus musculus (Mouse)	10090	KCC2a variant 1
A0A076FSX1	A0A076FSX1_MOUSE	123587	1115	Slc12a5	Mus musculus (Mouse)	10090	KCC2b variant 2
A0A076N1C3	A0A076N1C3_MOUSE	72460	661	Kidins220	Mus musculus (Mouse)	10090	Truncated Kidins220 isoform m5
A0A076N402	A0A076N402_MOUSE	75493	688	Kidins220	Mus musculus (Mouse)	10090	Truncated Kidins220 isoform m4
A0A076N8A1	A0A076N8A1_MOUSE	78710	718	Kidins220	Mus musculus (Mouse)	10090	Truncated Kidins220 isoform m2
A0A076N9K1	A0A076N9K1_MOUSE	80127	729	Kidins220	Mus musculus (Mouse)	10090	Truncated Kidins220 isoform m1
A0A076N9K6	A0A076N9K6_MOUSE	71182	650	Kidins220	Mus musculus (Mouse)	10090	Truncated Kidins220 isoform m6
A0A076NBC4	A0A076NBC4_MOUSE	76771	699	Kidins220	Mus musculus (Mouse)	10090	Truncated Kidins220 isoform m3
A0A077K846	A0A077K846_MOUSE	55270	492	Alg11 Mmat-4(5)	Mus musculus (Mouse)	10090	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131)
A0A077K8V5	A0A077K8V5_MOUSE	34677	312	Cd200l1 Gm609 isec1	Mus musculus (Mouse)	10090	ISEC1 protein, intestinal secretory cell protein 1
A0A077KA19	A0A077KA19_MOUSE	35676	320	Cd200l2 Gm17783 isec2	Mus musculus (Mouse)	10090	CD200 molecule like 2 (ISEC2 protein, intestinal secretory cell protein 2)
A0A077S2U3	A0A077S2U3_MOUSE	16818	148	Lyzl6 Lyzb	Mus musculus (Mouse)	10090	Lysozyme b
A0A077S9M6	A0A077S9M6_MOUSE	18438	163	Spaca3 Lyzc	Mus musculus (Mouse)	10090	Lysozyme c
A0A077S9Z6	A0A077S9Z6_MOUSE	16260	143	Lalba Lyzg	Mus musculus (Mouse)	10090	Lactose synthase B protein
A0A087WNL7	A0A087WNL7_MOUSE	343258	3210	Srcap	Mus musculus (Mouse)	10090	Snf2-related CREBBP activator protein
A0A087WNP0	A0A087WNP0_MOUSE	26870	241	4931428L18Rik	Mus musculus (Mouse)	10090	RIKEN cDNA 4931428L18 gene
A0A087WNQ6	A0A087WNQ6_MOUSE	13142	110	Sly	Mus musculus (Mouse)	10090	Sycp3 like Y-linked
A0A087WNR0	A0A087WNR0_MOUSE	55427	507	Slc11a1	Mus musculus (Mouse)	10090	Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1
A0A087WNR6	A0A087WNR6_MOUSE	7135	63	Atg4b	Mus musculus (Mouse)	10090	Cysteine protease (EC 3.4.22.-)
A0A087WNT1	A0A087WNT1_MOUSE	14940	134	Eloc Tceb1	Mus musculus (Mouse)	10090	Elongin-C
A0A087WNU5	A0A087WNU5_MOUSE	315538	2871	Ank3	Mus musculus (Mouse)	10090	Ankyrin 3, epithelial
A0A087WNW3	A0A087WNW3_MOUSE	143148	1247	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WNX4	A0A087WNX4_MOUSE	71073	658	Slco5a1	Mus musculus (Mouse)	10090	Solute carrier organic anion transporter family member
A0A087WNX7	A0A087WNX7_MOUSE	333620	3114	Srcap	Mus musculus (Mouse)	10090	Snf2-related CREBBP activator protein
A0A087WNX8	A0A087WNX8_MOUSE	46969	411	Chrnd	Mus musculus (Mouse)	10090	Cholinergic receptor, nicotinic, delta polypeptide
A0A087WNY2	A0A087WNY2_MOUSE	14330	121	Atg4b	Mus musculus (Mouse)	10090	Cysteine protease (EC 3.4.22.-)
A0A087WP01	A0A087WP01_MOUSE	26218	233	Cdc34b Cdc34-ps	Mus musculus (Mouse)	10090	Cell division cycle 34B
A0A087WP11	A0A087WP11_MOUSE	12069	105	H2al1b Gm14474	Mus musculus (Mouse)	10090	Histone H2A
A0A087WP14	A0A087WP14_MOUSE	147031	1280	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WP27	A0A087WP27_MOUSE	29241	255	Chrng	Mus musculus (Mouse)	10090	Cholinergic receptor, nicotinic, gamma polypeptide
A0A087WP41	A0A087WP41_MOUSE	10173	91	Ppil3	Mus musculus (Mouse)	10090	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)
A0A087WP44	A0A087WP44_MOUSE	25622	222	Gm29564 Gm21760 Gm28827 Gm28897 Gm29110 Gm31571	Mus musculus (Mouse)	10090	Predicted gene 28827 (Predicted gene 28897) (Predicted gene 29110) (Predicted gene 29564) (Predicted gene, 21760) (Predicted gene, 31571)
A0A087WP46	A0A087WP46_MOUSE	130309	1202	BC034090	Mus musculus (Mouse)	10090	cDNA sequence BC034090
A0A087WP48	A0A087WP48_MOUSE	140339	1223	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WP71	A0A087WP71_MOUSE	10597	96	Wnt10a	Mus musculus (Mouse)	10090	Protein Wnt
A0A087WP77	A0A087WP77_MOUSE	15032	135	Ndufs1	Mus musculus (Mouse)	10090	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 7.1.1.2)
A0A087WP81	A0A087WP81_MOUSE	25571	225	Uchl5	Mus musculus (Mouse)	10090	ubiquitinyl hydrolase 1 (EC 3.4.19.12)
A0A087WP85	A0A087WP85_MOUSE	146538	1275	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WP87	A0A087WP87_MOUSE	23186	211	Rnf2	Mus musculus (Mouse)	10090	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
A0A087WP97	A0A087WP97_MOUSE	22176	188	Gm20792 1700040F15Rik Gm20837 Gm20838 Gm21256 Gm21739 Gm21861 Gm28891	Mus musculus (Mouse)	10090	Predicted gene 28891 (Predicted gene, 20792) (Predicted gene, 20837) (Predicted gene, 20838) (Predicted gene, 21256) (Predicted gene, 21739) (Predicted gene, 21861) (RIKEN cDNA 1700040F15 gene)
A0A087WPD1	A0A087WPD1_MOUSE	58458	505	Rgs6	Mus musculus (Mouse)	10090	Regulator of G-protein signaling 6
A0A087WPD9	A0A087WPD9_MOUSE	17688	156	1700057G04Rik	Mus musculus (Mouse)	10090	Phospholipid scramblase
A0A087WPI4	A0A087WPI4_MOUSE	9605	85	Ccnyl1	Mus musculus (Mouse)	10090	Cyclin Y-like 1
A0A087WPL8	A0A087WPL8_MOUSE	30191	278	Atg9a	Mus musculus (Mouse)	10090	Autophagy-related protein 9
A0A087WPP8	A0A087WPP8_MOUSE	52483	475	Abi2	Mus musculus (Mouse)	10090	Abl interactor 2
A0A087WPR5	A0A087WPR5_MOUSE	32880	289	Ptpn18	Mus musculus (Mouse)	10090	protein-tyrosine-phosphatase (EC 3.1.3.48)
A0A087WPR8	A0A087WPR8_MOUSE	20535	187	Ep300	Mus musculus (Mouse)	10090	histone acetyltransferase (EC 2.3.1.48)
A0A087WPS5	A0A087WPS5_MOUSE	13254	116	Cep70	Mus musculus (Mouse)	10090	Centrosomal protein of 70 kDa
A0A087WPT4	A0A087WPT4_MOUSE	21110	187	Idh1	Mus musculus (Mouse)	10090	Isocitrate dehydrogenase 1 (NADP+), soluble
A0A087WPT7	A0A087WPT7_MOUSE	128936	1166	Inppl1	Mus musculus (Mouse)	10090	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase (EC 3.1.3.86)
A0A087WPU8	A0A087WPU8_MOUSE	49208	446	Tfdp2	Mus musculus (Mouse)	10090	Transcription factor
A0A087WPW5	A0A087WPW5_MOUSE	143744	1252	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WPX0	A0A087WPX0_MOUSE	149942	1304	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WPX1	A0A087WPX1_MOUSE	24836	219	Acy1	Mus musculus (Mouse)	10090	N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase)
A0A087WPX3	A0A087WPX3_MOUSE	150357	1347	Nfasc	Mus musculus (Mouse)	10090	Neurofascin
A0A087WPZ6	A0A087WPZ6_MOUSE	10058	90	Ppil3	Mus musculus (Mouse)	10090	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)
A0A087WQ09	A0A087WQ09_MOUSE	5452	49	Pdzd2	Mus musculus (Mouse)	10090	PDZ domain containing 2
A0A087WQ25	A0A087WQ25_MOUSE	145851	1270	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WQ26	A0A087WQ26_MOUSE	20328	176	Atg9a	Mus musculus (Mouse)	10090	Autophagy-related protein 9
A0A087WQ32	A0A087WQ32_MOUSE	93739	826	Pign	Mus musculus (Mouse)	10090	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-)
A0A087WQ52	A0A087WQ52_MOUSE	34695	309	Or52z15 Olfr625	Mus musculus (Mouse)	10090	Olfactory receptor
A0A087WQ98	A0A087WQ98_MOUSE	71014	610	Zfp442	Mus musculus (Mouse)	10090	Zinc finger protein 442
A0A087WQA3	A0A087WQA3_MOUSE	25715	222	Gm21518 Gm20843 Gm20888 Gm20937 Gm21209	Mus musculus (Mouse)	10090	Predicted gene, 20843 (Predicted gene, 20888) (Predicted gene, 20937) (Predicted gene, 21209) (Predicted gene, 21518)
A0A087WQC2	A0A087WQC2_MOUSE	25522	230	Tmem237	Mus musculus (Mouse)	10090	Transmembrane protein 237
A0A087WQC4	A0A087WQC4_MOUSE	65050	597	Taf6l	Mus musculus (Mouse)	10090	TATA-box binding protein associated factor 6 like
A0A087WQD0	A0A087WQD0_MOUSE	143250	1247	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WQD8	A0A087WQD8_MOUSE	74278	654	Traf3ip1	Mus musculus (Mouse)	10090	TRAF3 interacting protein 1
A0A087WQE8	A0A087WQE8_MOUSE	202174	1791	Kif1a	Mus musculus (Mouse)	10090	Kinesin family member 1A
A0A087WQF0	A0A087WQF0_MOUSE	45594	427	Plppr2 Lppr2	Mus musculus (Mouse)	10090	Phospholipid phosphatase related 2
A0A087WQF4	A0A087WQF4_MOUSE	19418	185	Eya1	Mus musculus (Mouse)	10090	Eyes absent homolog (EC 3.1.3.48)
A0A087WQF8	A0A087WQF8_MOUSE	137636	1200	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WQG4	A0A087WQG4_MOUSE	141041	1229	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WQG8	A0A087WQG8_MOUSE	97665	870	Msh4	Mus musculus (Mouse)	10090	DNA mismatch repair protein
A0A087WQI3	A0A087WQI3_MOUSE	143642	1252	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WQI6	A0A087WQI6_MOUSE	15369	133	Gsta3	Mus musculus (Mouse)	10090	Glutathione S-transferase (EC 2.5.1.18)
A0A087WQL8	A0A087WQL8_MOUSE	21917	189	Mstn	Mus musculus (Mouse)	10090	Growth/differentiation factor 8 (GDF-8) (Myostatin)
A0A087WQN7	A0A087WQN7_MOUSE	194301	1719	Xrn1	Mus musculus (Mouse)	10090	5'-3' exoribonuclease 1 (EC 3.1.13.-)
A0A087WQN9	A0A087WQN9_MOUSE	8136	74	Col6a3	Mus musculus (Mouse)	10090	Collagen, type VI, alpha 3
A0A087WQP7	A0A087WQP7_MOUSE	13015	117	Insig2	Mus musculus (Mouse)	10090	Insulin-induced gene protein
A0A087WQQ5	A0A087WQQ5_MOUSE	146436	1275	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WQQ7	A0A087WQQ7_MOUSE	10069	82	Zfp1006 2610044O15Rik8	Mus musculus (Mouse)	10090	RIKEN cDNA 2610044O15 gene
A0A087WQR0	A0A087WQR0_MOUSE	12884	118	Ndufs1	Mus musculus (Mouse)	10090	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 7.1.1.2)
A0A087WQS1	A0A087WQS1_MOUSE	40075	349	Sgk3	Mus musculus (Mouse)	10090	Serum/glucocorticoid regulated kinase 3
A0A087WQS4	A0A087WQS4_MOUSE	13851	125	Tuba4a	Mus musculus (Mouse)	10090	Tubulin, alpha 4A
A0A087WQT1	A0A087WQT1_MOUSE	14406	134	Ly6g2 BC025446	Mus musculus (Mouse)	10090	Lymphocyte antigen 6 complex, locus G2
A0A087WQV4	A0A087WQV4_MOUSE	16877	148	Mturn	Mus musculus (Mouse)	10090	Maturin
A0A087WQV8	A0A087WQV8_MOUSE	125018	1143	Adgrb1	Mus musculus (Mouse)	10090	Adhesion G protein-coupled receptor B1
A0A087WQX1	A0A087WQX1_MOUSE	20740	179	Cep70	Mus musculus (Mouse)	10090	Centrosomal protein of 70 kDa
A0A087WQY3	A0A087WQY3_MOUSE	18207	155	B3gnt7	Mus musculus (Mouse)	10090	Hexosyltransferase (EC 2.4.1.-)
A0A087WQY5	A0A087WQY5_MOUSE	132531	1192	Srcap	Mus musculus (Mouse)	10090	Snf2-related CREBBP activator protein
A0A087WR13	A0A087WR13_MOUSE	462050	4024	Dnah7c	Mus musculus (Mouse)	10090	Dynein, axonemal, heavy chain 7C
A0A087WR34	A0A087WR34_MOUSE	12853	119	Gm20379	Mus musculus (Mouse)	10090	Predicted gene, 20379
A0A087WR36	A0A087WR36_MOUSE	35462	309	Vmn1r90	Mus musculus (Mouse)	10090	Vomeronasal type-1 receptor
A0A087WR42	A0A087WR42_MOUSE	18599	168	Tmem237	Mus musculus (Mouse)	10090	Transmembrane protein 237
A0A087WR47	A0A087WR47_MOUSE	8628	79	Ndufs1	Mus musculus (Mouse)	10090	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 7.1.1.2)
A0A087WR50	A0A087WR50_MOUSE	262842	2386	Fn1	Mus musculus (Mouse)	10090	Fibronectin
A0A087WR70	A0A087WR70_MOUSE	38545	333	Sgk3	Mus musculus (Mouse)	10090	Serum/glucocorticoid regulated kinase 3
A0A087WR82	A0A087WR82_MOUSE	43168	380	Rbmyf1 Gm4064	Mus musculus (Mouse)	10090	Predicted gene 4064
A0A087WR97	A0A087WR97_MOUSE	26715	243	Tardbp	Mus musculus (Mouse)	10090	TAR DNA-binding protein 43
A0A087WRB4	A0A087WRB4_MOUSE	11101	100	Tuba4a	Mus musculus (Mouse)	10090	Tubulin, alpha 4A
A0A087WRB8	A0A087WRB8_MOUSE	170209	1471	Dst	Mus musculus (Mouse)	10090	Dystonin
A0A087WRC0	A0A087WRC0_MOUSE	96814	883	Tpp2	Mus musculus (Mouse)	10090	Tripeptidyl-peptidase 2 (EC 3.4.14.10)
A0A087WRC1	A0A087WRC1_MOUSE	23597	210	Dnpep	Mus musculus (Mouse)	10090	Aspartyl aminopeptidase (EC 3.4.11.21)
A0A087WRC9	A0A087WRC9_MOUSE	20132	174	Dnajc13	Mus musculus (Mouse)	10090	DnaJ heat shock protein family (Hsp40) member C13
A0A087WRD2	A0A087WRD2_MOUSE	7910	71	Usp40	Mus musculus (Mouse)	10090	ubiquitinyl hydrolase 1 (EC 3.4.19.12)
A0A087WRE3	A0A087WRE3_MOUSE	31344	279	Nmnat2	Mus musculus (Mouse)	10090	Nicotinamide nucleotide adenylyltransferase 2
A0A087WRE7	A0A087WRE7_MOUSE	49150	457	Adhfe1	Mus musculus (Mouse)	10090	Hydroxyacid-oxoacid transhydrogenase, mitochondrial (EC 1.1.99.24) (Alcohol dehydrogenase iron-containing protein 1)
A0A087WRE9	A0A087WRE9_MOUSE	29226	264	Rnf2	Mus musculus (Mouse)	10090	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
A0A087WRF2	A0A087WRF2_MOUSE	89021	804	Agap1	Mus musculus (Mouse)	10090	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
A0A087WRF5	A0A087WRF5_MOUSE	25788	222	Gm21739 1700040F15Rik Gm20792 Gm20837 Gm20838 Gm21094 Gm21256 Gm21861 Gm28891	Mus musculus (Mouse)	10090	Predicted gene 28891 (Predicted gene, 20792) (Predicted gene, 20837) (Predicted gene, 20838) (Predicted gene, 21094) (Predicted gene, 21256) (Predicted gene, 21739) (Predicted gene, 21861) (RIKEN cDNA 1700040F15 gene)
A0A087WRG0	A0A087WRG0_MOUSE	61551	533	Pfkfb2	Mus musculus (Mouse)	10090	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
A0A087WRG6	A0A087WRG6_MOUSE	13388	118	Eya1	Mus musculus (Mouse)	10090	Eyes absent homolog (EC 3.1.3.48)
A0A087WRH8	A0A087WRH8_MOUSE	33836	301	Gm5157	Mus musculus (Mouse)	10090	Predicted gene 5157
A0A087WRH9	A0A087WRH9_MOUSE	34608	329	Mdfic	Mus musculus (Mouse)	10090	MyoD family inhibitor domain containing
A0A087WRJ1	A0A087WRJ1_MOUSE	48585	410	Zfp1006 2610044O15Rik8	Mus musculus (Mouse)	10090	RIKEN cDNA 2610044O15 gene
A0A087WRK3	A0A087WRK3_MOUSE	25590	222	Gm21497 Gm20817 Gm21173 Gm28553	Mus musculus (Mouse)	10090	Predicted gene 28553 (Predicted gene, 20817) (Predicted gene, 21173) (Predicted gene, 21497)
A0A087WRL3	A0A087WRL3_MOUSE	19565	167	Uchl5	Mus musculus (Mouse)	10090	ubiquitinyl hydrolase 1 (EC 3.4.19.12)
A0A087WRL4	A0A087WRL4_MOUSE	39576	363	Pdzd2	Mus musculus (Mouse)	10090	PDZ domain containing 2
A0A087WRL7	A0A087WRL7_MOUSE	8756	79	1700057G04Rik	Mus musculus (Mouse)	10090	Phospholipid scramblase
A0A087WRM4	A0A087WRM4_MOUSE	9552	84	Idh1	Mus musculus (Mouse)	10090	Isocitrate dehydrogenase 1 (NADP+), soluble
A0A087WRM7	A0A087WRM7_MOUSE	64038	556	Pfkfb2	Mus musculus (Mouse)	10090	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
A0A087WRP2	A0A087WRP2_MOUSE	149533	1349	Lama2	Mus musculus (Mouse)	10090	Laminin, alpha 2
A0A087WRS1	A0A087WRS1_MOUSE	146345	1275	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WRS3	A0A087WRS3_MOUSE	49359	458	Abi2	Mus musculus (Mouse)	10090	Abl interactor 2
A0A087WRS9	A0A087WRS9_MOUSE	22762	202	Idh1	Mus musculus (Mouse)	10090	Isocitrate dehydrogenase 1 (NADP+), soluble
A0A087WRT0	A0A087WRT0_MOUSE	16751	143	Atg4b	Mus musculus (Mouse)	10090	Cysteine protease (EC 3.4.22.-)
A0A087WRT7	A0A087WRT7_MOUSE	25388	236	Ms4a4a	Mus musculus (Mouse)	10090	Membrane-spanning 4-domains, subfamily A, member 4A
A0A087WRV1	A0A087WRV1_MOUSE	34254	305	Vmn1r82	Mus musculus (Mouse)	10090	Vomeronasal type-1 receptor
A0A087WRV6	A0A087WRV6_MOUSE	94901	830	Trip12	Mus musculus (Mouse)	10090	E3 ubiquitin-protein ligase (EC 2.3.2.26)
A0A087WRW7	A0A087WRW7_MOUSE	19254	178	Adora1	Mus musculus (Mouse)	10090	Adenosine receptor A1
A0A087WRZ5	A0A087WRZ5_MOUSE	32178	285	Tardbp	Mus musculus (Mouse)	10090	TAR DNA-binding protein 43
A0A087WS03	A0A087WS03_MOUSE	90455	798	Pign	Mus musculus (Mouse)	10090	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-)
A0A087WS04	A0A087WS04_MOUSE	140547	1224	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WS05	A0A087WS05_MOUSE	35850	313	Or8k53 Olfr1055	Mus musculus (Mouse)	10090	Olfactory receptor
A0A087WS07	A0A087WS07_MOUSE	68681	628	Slc26a6	Mus musculus (Mouse)	10090	Solute carrier family 26 member 6
A0A087WS16	A0A087WS16_MOUSE	288693	2677	Col6a3	Mus musculus (Mouse)	10090	Collagen, type VI, alpha 3
A0A087WS23	A0A087WS23_MOUSE	143952	1253	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WS27	A0A087WS27_MOUSE	48482	428	Tent5a Fam46a	Mus musculus (Mouse)	10090	polynucleotide adenylyltransferase (EC 2.7.7.19)
A0A087WS29	A0A087WS29_MOUSE	140923	1228	Ktn1	Mus musculus (Mouse)	10090	Kinectin 1
A0A087WS31	A0A087WS31_MOUSE	24834	222	Dnpep	Mus musculus (Mouse)	10090	Aspartyl aminopeptidase (EC 3.4.11.21)
A0A087WS35	A0A087WS35_MOUSE	8054	75	Tuba4a	Mus musculus (Mouse)	10090	Tubulin, alpha 4A
A0A087WS36	A0A087WS36_MOUSE	50110	445	Srcap	Mus musculus (Mouse)	10090	Snf2-related CREBBP activator protein
A0A087WS38	A0A087WS38_MOUSE	57505	522	Tshz2	Mus musculus (Mouse)	10090	Teashirt zinc finger family member 2
A0A087WS56	A0A087WS56_MOUSE	249552	2266	Fn1	Mus musculus (Mouse)	10090	Fibronectin
A0A087WS85	A0A087WS85_MOUSE	3965	36	Pdzd2	Mus musculus (Mouse)	10090	PDZ domain containing 2
A0A087WSA6	A0A087WSA6_MOUSE	56879	508	Gm7358	Mus musculus (Mouse)	10090	Predicted gene 7358
A0A087WSB0	A0A087WSB0_MOUSE	8984	81	Tuba4a	Mus musculus (Mouse)	10090	Tubulin, alpha 4A
A0A087WSB3	A0A087WSB3_MOUSE	70857	635	Pira13 Gm15448	Mus musculus (Mouse)	10090	Paired-Ig-like receptor A13
A0A087WSE6	A0A087WSE6_MOUSE	30161	271	Dnpep	Mus musculus (Mouse)	10090	Aspartyl aminopeptidase (EC 3.4.11.21)
A0A087WSF2	A0A087WSF2_MOUSE	56509	504	Smok3c	Mus musculus (Mouse)	10090	Sperm motility kinase 3C
A0A087WSF3	A0A087WSF3_MOUSE	9025	78	Spp2	Mus musculus (Mouse)	10090	Secreted phosphoprotein 24 (Secreted phosphoprotein 2)
