MitoCarta3.0_List	MitoCarta3.0_Evidence	MitoCarta3.0_SubMitoLocalization	MitoCarta3.0_MitoPathways	Uniprot	HPA_Main_Location_2020 (Reliability)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression+, MS/MS"	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9Y2R9	Mitochondria (Approved)
MitoCarta3.0	"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	P09001	
MitoCarta3.0	"literature, targetP signal, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	MIM	"Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Electron carriers > Q-linked reactions, other"	O43272	
MitoCarta3.0	"literature, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Biotin utilizing proteins	P05165	Mitochondria (Supported)
MitoCarta3.0	"literature, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Vitamin metabolism > Biotin utilizing proteins	Q96RQ3	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS+"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	O15235	
MitoCarta3.0	"APEX_IMS, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS++"	IMS	"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"	Q9H078	
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain+, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	Q15118	Mitochondria;Nucleoli (Approved)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, coexpression, MS/MS++"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q13405	
MitoCarta3.0	"literature, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits	P14406	
MitoCarta3.0	"literature, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors	Q9H061	Cytosol (Approved)
MitoCarta3.0	"targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	Matrix	0	Q86YB7	Mitochondria (Approved)
MitoCarta3.0	"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS"	IMS	Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C	P53701	Mitochondria (Enhanced)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression+, MS/MS++"	Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	P31937	
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	P49406	Mitochondria (Supported)
MitoCarta3.0	"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression+"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9P0J6	Mitochondria;Nuclear bodies (Supported)
MitoCarta3.0	"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	MIM	Metabolism > Sulfur metabolism | Small molecule transport > SLC25A family	Q5SVS4	Nucleoplasm (Approved)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++"	MIM	Metabolism > Carbohydrate metabolism > Ketone metabolism	Q02338	Mitochondria (Enhanced)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	Matrix	Mitochondrial central dogma > Translation > mt-tRNA synthetases	O95363	Plasma membrane (Uncertain)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression+, MS/MS+"	MIM	Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Small molecule transport > ABC transporters	O75027	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++"	MOM	"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"	Q13505	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, mito protein domain+, coexpression++, MS/MS++"	MIM	OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	O95182	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_IMS, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS+"	MIM	"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"	Q99595	Mitochondria;Nucleoplasm (Supported)
MitoCarta3.0	"APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, coexpression, MS/MS++"	Matrix	Metabolism > Amino acid metabolism > GABA metabolism | Metabolism > Detoxification > ROS and glutathione metabolism	P49189	Cytosol (Approved)
MitoCarta3.0	"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9Y3D5	
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+"	Matrix	Mitochondrial central dogma > Translation > mt-tRNA synthetases	Q96GW9	
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, coexpression, MS/MS++"	MIM	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	Q02252	Mitochondria (Enhanced)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, coexpression, MS/MS++"	Matrix	"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Vitamin metabolism > Vitamin D metabolism"	P22570	Mitochondria (Enhanced)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS"	Matrix	Mitochondrial central dogma > Translation > mt-tRNA synthetases	O43716	
MitoCarta3.0	"APEX_matrix, GFP, targetP signal+, Rickettsial homolog, mito protein domain, coexpression++, MS/MS+"	Matrix	"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"	Q12931	Mitochondria (Enhanced)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++"	Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	Q9UKU7	
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, coexpression, MS/MS++"	Matrix	Metabolism > Detoxification > Xenobiotic metabolism	P05091	
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression, MS/MS++"	Matrix	Signaling > Calcium homeostasis > Mitochondrial permeability transition pore	P30405	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS"	MIM	"Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway"	Q9Y584	
MitoCarta3.0	"literature, APEX_matrix, targetP signal, mito protein domain+, coexpression+, MS/MS++"	Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	P26440	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression, MS/MS++"	MIM	Metabolism > Carbohydrate metabolism > TCA-associated	Q9H9P8	Mitochondria (Enhanced)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, induction, MS/MS++"	Matrix	Metabolism > Sulfur metabolism	O95571	Mitochondria (Enhanced)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9BYC9	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog+, mito protein domain+, induction, MS/MS++"	MIM	Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family	P05141	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog+, mito protein domain+, induction, MS/MS++"	MIM	Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Amino acid metabolism > Glutamate metabolism | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family	O75746	Nuclear speckles (Uncertain)
MitoCarta3.0	"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, MS/MS++"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	P82921	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++"	MOM	"Protein import, sorting and homeostasis > Protein import and sorting > TOM"	Q9NS69	Mitochondria (Enhanced)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism	P42765	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, yeast mito homolog++, mito protein domain, coexpression++, MS/MS"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q8TCC3	
MitoCarta3.0	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS+"	Matrix	"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"	Q96EY1	Mitochondria (Enhanced)
MitoCarta3.0	"literature, targetP signal, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	O95178	Mitochondria;Nucleoplasm (Approved)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, induction, coexpression++, MS/MS++"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	P82930	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, yeast mito homolog, mito protein domain, induction, coexpression+, MS/MS++"	Matrix	"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other"	P38117	Mitochondria (Enhanced)
MitoCarta3.0	"APEX_matrix, yeast mito homolog++, Rickettsial homolog, coexpression, MS/MS+"	MIM	"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"	Q8WV93	Cytosol;Plasma membrane (Approved)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++"	Matrix	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	Q9UII2	Mitochondria (Enhanced)
MitoCarta3.0	"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, MS/MS++"	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	P24539	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, MS/MS++"	MIM	OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits	P15954	
MitoCarta3.0	"literature, APEX_IMS, APEX_matrix, GFP, yeast mito homolog, induction, coexpression++, MS/MS++"	MIM	Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions	Q9NX63	Mitochondria (Supported)
MitoCarta3.0	"GFP, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, MS/MS+"	MIM	Metabolism > Metals and cofactors > Coenzyme Q metabolism	Q9H8M1	Cytosol (Approved)
MitoCarta3.0	"APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++"	Matrix	Metabolism > Lipid metabolism > Type II fatty acid synthesis	Q4G176	
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, induction, coexpression++, MS/MS++"	Matrix	Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid	Q9Y2S7	Mitochondria (Approved)
MitoCarta3.0	"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	MIM	Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Small molecule transport > SLC25A family	Q9UBX3	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	MIM	Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Amino acid metabolism > Urea cycle | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family	Q9UJS0	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain+, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	Q15120	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > TCA-associated	Q16798	
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9NWU5	Mitochondria (Approved)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle	P48735	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++"	Matrix	Metabolism > Amino acid metabolism > Lysine metabolism	Q92947	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression"	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9HD33	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	Matrix	Mitochondrial central dogma > mtDNA maintenance | Mitochondrial central dogma > mtRNA metabolism | Mitochondrial central dogma > Translation | Metabolism > Nucleotide metabolism	Q9H2U2	Mitochondria (Approved)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9BYD2	Mitochondria (Supported)
MitoCarta3.0	"literature, targetP signal, yeast mito homolog+, mito protein domain, induction, coexpression++"	IMS	0	Q8WYQ3	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS"	Matrix	Mitochondrial central dogma > Translation > mt-tRNA synthetases	Q9UGM6	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS"	MIM	Metabolism > Vitamin metabolism > Vitamin B1 metabolism | Small molecule transport > SLC25A family	Q9HC21	
MitoCarta3.0	"literature, APEX_matrix, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	Matrix	Metabolism > Lipid metabolism > Type II fatty acid synthesis	Q8N4T8	
MitoCarta3.0	"literature, targetP signal, mito protein domain+, induction, coexpression+, MS/MS"	MIM	Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > Calcium uniporter	Q9H4I9	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression, MS/MS++"	Matrix	Metabolism > Detoxification > ROS and glutathione metabolism	Q16775	
MitoCarta3.0	"literature, targetP signal, mito protein domain+, induction, coexpression, MS/MS+"	MIM	OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits	P24310	
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression+, MS/MS"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly	Q9BT17	Mitochondria (Supported)
MitoCarta3.0	"literature, GFP, mito protein domain+, induction, coexpression++, MS/MS+"	MIM	Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors	Q96I36	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, Rickettsial homolog, coexpression++, MS/MS++"	MIM	OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	Q9UI09	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS+"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9Y3D3	Cytosol;Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression, MS/MS"	Matrix	Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid	Q49AM1	
MitoCarta3.0	"mito protein domain+, induction, coexpression, MS/MS++"	Matrix	"Metabolism > Electron carriers > Q-linked reactions, other"	Q6IPR1	
MitoCarta3.0	"literature, APEX_IMS, yeast mito homolog++, mito protein domain, coexpression, MS/MS++"	MIM	"Metabolism > Carbohydrate metabolism > Glycerol phosphate shuttle | Metabolism > Electron carriers > Q-linked reactions, other"	P43304	
MitoCarta3.0	"literature, targetP signal, mito protein domain, coexpression++, MS/MS++"	MIM	OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	O95299	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_IMS, mito protein domain+, coexpression++, MS/MS++"	MIM	OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	O95298	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, GFP, targetP signal+, mito protein domain, induction, coexpression, MS/MS++"	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation	Q9GZT3	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain+, MS/MS+"	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	P00846	
MitoCarta3.0	"literature, APEX_IMS, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain+, MS/MS+"	MIM	OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits	P00403	
MitoCarta3.0	"APEX_IMS, GFP, yeast mito homolog++, mito protein domain+, coexpression, MS/MS"	MIM	"Mitochondrial central dogma > Translation > Translation factors | Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors"	Q9BVV7	
MitoCarta3.0	"literature, APEX_IMS, mito protein domain, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	P51970	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, MS/MS++"	MIM	Metabolism > Amino acid metabolism > Glutamate metabolism	O94925	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_IMS, APEX_matrix, targetP signal+, coexpression++, MS/MS++"	MIM	OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	Q9NX14	Mitochondria (Approved)
MitoCarta3.0	"APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, MS/MS"	Matrix	Metabolism > Amino acid metabolism > Lysine metabolism	Q96HY7	Mitochondria (Supported)
MitoCarta3.0	"APEX_matrix, targetP signal, mito protein domain, induction, coexpression, MS/MS++"	Matrix	0	Q96GK7	
MitoCarta3.0	"APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	Matrix	"Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis"	Q92506	
MitoCarta3.0	"APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	Matrix	"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis"	Q9BX68	Mitochondria (Enhanced)
MitoCarta3.0	"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	P82675	Mitochondria (Supported)
MitoCarta3.0	"targetP signal, induction, coexpression++, MS/MS+"	Matrix	0	Q5SQH8	
MitoCarta3.0	"APEX_matrix, GFP, targetP signal+, mito protein domain, coexpression+, MS/MS++"	Matrix	0	Q8WW59	Nucleoplasm (Approved)
MitoCarta3.0	"targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, coexpression, MS/MS"	Matrix	Metabolism > Lipid metabolism > Lipoate insertion	A6NK58	Vesicles (Approved)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++"	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	Q16698	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression, MS/MS+"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9BYN8	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	MIM	Metabolism > Amino acid metabolism > Urea cycle | Small molecule transport > SLC25A family	Q9Y619	
MitoCarta3.0	"literature, APEX_matrix, targetP signal, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	P56181	Mitochondria (Enhanced)
MitoCarta3.0	"targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	Matrix	Metabolism > Detoxification > Xenobiotic metabolism	Q86WA6	Mitochondria (Approved)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	MIM	"Protein import, sorting and homeostasis > Protein homeostasis"	Q9UJZ1	Cytosol;Plasma membrane (Supported)
MitoCarta3.0	"APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, coexpression, MS/MS++"	Matrix	Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Sulfur metabolism	Q9Y3D2	
MitoCarta3.0	"literature, APEX_IMS, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	IMS	"Protein import, sorting and homeostasis > Protein homeostasis > Proteases | Metabolism > Lipid metabolism > Phospholipid metabolism"	P83111	Mitochondria (Supported)
MitoCarta3.0	"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	MOM	"Protein import, sorting and homeostasis > Protein import and sorting > TOM"	O96008	Mitochondria (Enhanced)
MitoCarta3.0	"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++"	MIM	Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family	Q6KCM7	Mitochondria;Vesicles (Supported)
MitoCarta3.0	"targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	unknown	0	Q3MIX3	Cytosol;Plasma membrane (Approved)
MitoCarta3.0	"APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++"	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	Q6JQN1	
MitoCarta3.0	"APEX_matrix, targetP signal, mito protein domain, coexpression+, MS/MS++"	Matrix	0	A3KMH1	Lipid droplets;Vesicles (Approved)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain+, MS/MS"	MIM	0	Q9GZT6	Mitochondria (Enhanced)
MitoCarta3.0	"GFP, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	MOM	"Protein import, sorting and homeostasis > Protein import and sorting | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"	Q9NVH1	Cytosol (Approved)
MitoCarta3.0	"APEX_matrix, targetP signal, mito protein domain, induction, coexpression++, MS/MS"	Matrix	0	Q9BT30	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain+, coexpression, MS/MS++"	Matrix	Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system	P23378	Mitochondria (Supported)
MitoCarta3.0	"targetP signal, yeast mito homolog+, mito protein domain+, MS/MS++"	MIM	Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport	P0DKB6	
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog, mito protein domain, induction, MS/MS++"	MIM	Metabolism > Lipid metabolism	Q5T1C6	
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS"	Matrix	Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid	Q04837	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9P0M9	
MitoCarta3.0	"APEX_matrix, GFP, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS"	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis	Q8IWL3	Cytosol;Mitochondria;Nucleoplasm (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	P82664	Mitochondria (Approved)
MitoCarta3.0	"APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++"	Matrix	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	P27144	Mitochondria (Supported)
MitoCarta3.0	"APEX_IMS, APEX_matrix, GFP, Rickettsial homolog, mito protein domain+, coexpression, MS/MS++"	MIM	Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial dynamics and surveillance > Organelle contact sites | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions	Q9NVI7	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression+, MS/MS++"	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9BZE1	Mitochondria (Supported)
